ID;kronotipus;perszever_hiba;nem_perszever_hiba;ossz_hiba
1;inkabb reggeli;6;1;7
2;kozep;5;2;7
3;kozep;5;6;11
4;kozep;10;9;19
5;inkabb esti;5;3;8
6;inkabb esti;6;3;9
7;reggeli;6;1;7
8;közep;7;3;10
9;kozep;9;1;10
10;kozep;5;2;7
11;kozep;7;7;14
12;inkabb esti;5;2;7
13;inkabb esti;5;2;7
14;inkabb reggeli;6;8;14
15;inkabb esti;6;4;10
