OBJECTID,Province/Territory,Project name,Total project capacity (MW),Turbine identifier,Turbine number in project,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),Manufacturer,Model,Commissioning date,Latitude,Longitude,Notes
1188,British Columbia,Shinish,15,SHS5,5/5,3000,114,100,Senvion,3.2 M114,2017,49,644184,-120,088395,Derated from 3200 kW
1189,British Columbia,Moose Lake,15,MOL1,1/4,3750,141,99,Enercon,E-141/4200,2019,55,292758,-121,279058,Derated from 4200 kW
1190,British Columbia,Moose Lake,15,MOL2,2/4,3750,141,99,Enercon,E-141/4200,2019,55,290407,-121,27571,Derated from 4200 kW
1191,British Columbia,Moose Lake,15,MOL3,3/4,3750,141,99,Enercon,E-141/4200,2019,55,286023,-121,268157,Derated from 4200 kW
1192,British Columbia,Moose Lake,15,MOL4,4/4,3750,141,99,Enercon,E-141/4200,2019,55,283843,-121,263866,Derated from 4200 kW
1193,Manitoba,St. Joseph,138,SJH1,1/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,13561872,-97,42988978,
1194,Manitoba,St. Joseph,138,SJH2,2/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,13566932,-97,42430771,
1195,Manitoba,St. Joseph,138,SJH3,3/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,13569178,-97,41677072,
1196,Manitoba,St. Joseph,138,SJH4,4/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,13571859,-97,40903516,
1197,Manitoba,St. Joseph,138,SJH5,5/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,117518,-97,44616101,
1198,Manitoba,St. Joseph,138,SJH6,6/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,11751457,-97,44032222,
1199,Manitoba,St. Joseph,138,SJH7,7/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,11904276,-97,43493772,
1200,Manitoba,St. Joseph,138,SJH8,8/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10510494,-97,43904966,
1201,Manitoba,St. Joseph,138,SJH9,9/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,1052063,-97,43227048,
1202,Manitoba,St. Joseph,138,SJH10,10/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,1080364,-97,4240011,
1203,Manitoba,St. Joseph,138,SJH11,11/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10806355,-97,4184668,
1204,Manitoba,St. Joseph,138,SJH12,12/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10436559,-97,40965951,
1205,Manitoba,St. Joseph,138,SJH13,13/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10443061,-97,40230958,
1206,Manitoba,St. Joseph,138,SJH14,14/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10445082,-97,39618126,
1207,Manitoba,St. Joseph,138,SJH15,15/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10291783,-97,38969288,
1208,Manitoba,St. Joseph,138,SJH16,16/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10285297,-97,37938935,
1209,Manitoba,St. Joseph,138,SJH17,17/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10290856,-97,37321822,
1210,Manitoba,St. Joseph,138,SJH18,18/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10295339,-97,36516248,
1211,Manitoba,St. Joseph,138,SJH19,19/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10288704,-97,35725852,
1212,Manitoba,St. Joseph,138,SJH20,20/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,10457315,-97,34851041,
1213,Manitoba,St. Joseph,138,SJH21,21/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,11738058,-97,38425589,
1214,Manitoba,St. Joseph,138,SJH22,22/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,11759664,-97,37767853,
1215,Manitoba,St. Joseph,138,SJH23,23/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,11767552,-97,37225026,
1216,Manitoba,St. Joseph,138,SJH24,24/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,11929694,-97,36529482,
1217,Manitoba,St. Joseph,138,SJH25,25/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,11933245,-97,35695683,
1218,Manitoba,St. Joseph,138,SJH26,26/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,12715146,-97,33701658,
1219,Manitoba,St. Joseph,138,SJH27,27/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,12721995,-97,32875127,
1220,Manitoba,St. Joseph,138,SJH28,28/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,14857605,-97,49599865,
1221,Manitoba,St. Joseph,138,SJH29,29/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,1486653,-97,4871285,
1222,Manitoba,St. Joseph,138,SJH30,30/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,14867063,-97,47913151,
1223,Manitoba,St. Joseph,138,SJH31,31/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,14861333,-97,4723648,
1224,Manitoba,St. Joseph,138,SJH32,32/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,14856034,-97,46233185,
1225,Manitoba,St. Joseph,138,SJH33,33/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,15979323,-97,39686806,
1226,Manitoba,St. Joseph,138,SJH34,34/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,15962987,-97,38562305,
1227,Manitoba,St. Joseph,138,SJH35,35/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,16412911,-97,37319055,
1228,Manitoba,St. Joseph,138,SJH36,36/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,16418201,-97,3646082,
1229,Manitoba,St. Joseph,138,SJH37,37/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,16415134,-97,35584669,
1230,Manitoba,St. Joseph,138,SJH38,38/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,1694832,-97,34964835,
1231,Manitoba,St. Joseph,138,SJH39,39/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,15997474,-97,34073592,
1232,Manitoba,St. Joseph,138,SJH40,40/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,16017806,-97,33445444,
1233,Manitoba,St. Joseph,138,SJH41,41/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,16008475,-97,32711976,
1234,Manitoba,St. Joseph,138,SJH42,42/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,14902419,-97,34330995,
1235,Manitoba,St. Joseph,138,SJH43,43/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,14892002,-97,35178715,
1236,Manitoba,St. Joseph,138,SJH44,44/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,14882866,-97,35981811,
1237,Manitoba,St. Joseph,138,SJH45,45/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,14874745,-97,36621913,
1238,Manitoba,St. Joseph,138,SJH46,46/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,16003319,-97,4311383,
1239,Manitoba,St. Joseph,138,SJH47,47/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,1755016,-97,43554207,
1240,Manitoba,St. Joseph,138,SJH48,48/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,17532951,-97,42355672,
1241,Manitoba,St. Joseph,138,SJH49,49/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,17591597,-97,4108361,
1242,Manitoba,St. Joseph,138,SJH50,50/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,1761537,-97,39731008,
1243,Manitoba,St. Joseph,138,SJH51,51/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,17271013,-97,33425619,
1244,Manitoba,St. Joseph,138,SJH52,52/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,17832364,-97,35017849,
1245,Manitoba,St. Joseph,138,SJH53,53/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,178352,-97,35987928,
1246,Manitoba,St. Joseph,138,SJH54,54/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,17835263,-97,36766002,
1247,Manitoba,St. Joseph,138,SJH55,55/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,17828996,-97,37701623,
1248,Manitoba,St. Joseph,138,SJH56,56/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,18889057,-97,38145522,
1249,Manitoba,St. Joseph,138,SJH57,57/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,18883348,-97,37156268,
1250,Manitoba,St. Joseph,138,SJH58,58/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,18917076,-97,36323729,
1251,Manitoba,St. Joseph,138,SJH59,59/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,18907292,-97,34484484,
1252,Manitoba,St. Joseph,138,SJH60,60/60,2300,101,80,Siemens,SWT 2.3-101,2011,49,18964951,-97,3362765,
1253,Manitoba,St. Leon,120,45,LEO1,1/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37478835,-98,58950045,
1254,Manitoba,St. Leon,120,45,LEO2,2/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37638107,-98,584714,
1255,Manitoba,St. Leon,120,45,LEO3,3/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3779279,-98,58001225,
1256,Manitoba,St. Leon,120,45,LEO4,4/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37955913,-98,57530066,
1257,Manitoba,St. Leon,120,45,LEO5,5/73,1650,82,80,Vestas,V82,2005/2006/2012,49,36691819,-98,56984988,
1258,Manitoba,St. Leon,120,45,LEO6,6/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37120874,-98,56101059,
1259,Manitoba,St. Leon,120,45,LEO7,7/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37774964,-98,60287156,
1260,Manitoba,St. Leon,120,45,LEO8,8/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37601084,-98,60749452,
1261,Manitoba,St. Leon,120,45,LEO9,9/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37423944,-98,61214413,
1262,Manitoba,St. Leon,120,45,LEO10,10/73,1650,82,80,Vestas,V82,2005/2006/2012,49,36295798,-98,61040694,
1263,Manitoba,St. Leon,120,45,LEO11,11/73,1650,82,80,Vestas,V82,2005/2006/2012,49,36103391,-98,6153996,
1264,Manitoba,St. Leon,120,45,LEO12,12/73,1650,82,80,Vestas,V82,2005/2006/2012,49,387588,-98,57002431,
1265,Manitoba,St. Leon,120,45,LEO13,13/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34537609,-98,65765029,
1266,Manitoba,St. Leon,120,45,LEO14,14/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34299438,-98,66390438,
1267,Manitoba,St. Leon,120,45,LEO15,15/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34087152,-98,67114303,
1268,Manitoba,St. Leon,120,45,LEO16,16/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3535997,-98,67228518,
1269,Manitoba,St. Leon,120,45,LEO17,17/73,1650,82,80,Vestas,V82,2005/2006/2012,49,35820141,-98,66379295,
1270,Manitoba,St. Leon,120,45,LEO18,18/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3609329,-98,65585217,
1271,Manitoba,St. Leon,120,45,LEO19,19/73,1650,82,80,Vestas,V82,2005/2006/2012,49,36168659,-98,64811846,
1272,Manitoba,St. Leon,120,45,LEO20,20/73,1650,82,80,Vestas,V82,2005/2006/2012,49,35736761,-98,62535111,
1273,Manitoba,St. Leon,120,45,LEO21,21/73,1650,82,80,Vestas,V82,2005/2006/2012,49,35569088,-98,62987562,
1274,Manitoba,St. Leon,120,45,LEO22,22/73,1650,82,80,Vestas,V82,2005/2006/2012,49,35032415,-98,63875206,
1275,Manitoba,St. Leon,120,45,LEO23,23/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34170427,-98,61726721,
1276,Manitoba,St. Leon,120,45,LEO24,24/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34475019,-98,61050674,
1277,Manitoba,St. Leon,120,45,LEO25,25/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3466861,-98,60256167,
1278,Manitoba,St. Leon,120,45,LEO26,26/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37238486,-98,67074652,
1279,Manitoba,St. Leon,120,45,LEO27,27/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37336494,-98,67691035,
1280,Manitoba,St. Leon,120,45,LEO28,28/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37423717,-98,65485047,
1281,Manitoba,St. Leon,120,45,LEO29,29/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37584981,-98,64933376,
1282,Manitoba,St. Leon,120,45,LEO30,30/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37722507,-98,64385828,
1283,Manitoba,St. Leon,120,45,LEO31,31/73,1650,82,80,Vestas,V82,2005/2006/2012,49,38178431,-98,62016771,
1284,Manitoba,St. Leon,120,45,LEO32,32/73,1650,82,80,Vestas,V82,2005/2006/2012,49,38342603,-98,61517703,
1285,Manitoba,St. Leon,120,45,LEO33,33/73,1650,82,80,Vestas,V82,2005/2006/2012,49,40120456,-98,63188019,
1286,Manitoba,St. Leon,120,45,LEO34,34/73,1650,82,80,Vestas,V82,2005/2006/2012,49,40266826,-98,62667192,
1287,Manitoba,St. Leon,120,45,LEO35,35/73,1650,82,80,Vestas,V82,2005/2006/2012,49,40422189,-98,62165401,
1288,Manitoba,St. Leon,120,45,LEO36,36/73,1650,82,80,Vestas,V82,2005/2006/2012,49,40566977,-98,61642899,
1289,Manitoba,St. Leon,120,45,LEO37,37/73,1650,82,80,Vestas,V82,2005/2006/2012,49,35371806,-98,69693649,
1290,Manitoba,St. Leon,120,45,LEO38,38/73,1650,82,80,Vestas,V82,2005/2006/2012,49,35099688,-98,70232426,
1291,Manitoba,St. Leon,120,45,LEO39,39/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34552447,-98,71008829,
1292,Manitoba,St. Leon,120,45,LEO40,40/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34369372,-98,72289772,
1293,Manitoba,St. Leon,120,45,LEO41,41/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34288318,-98,6875354,
1294,Manitoba,St. Leon,120,45,LEO42,42/73,1650,82,80,Vestas,V82,2005/2006/2012,49,33709534,-98,68755245,
1295,Manitoba,St. Leon,120,45,LEO43,43/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3346277,-98,69355641,
1296,Manitoba,St. Leon,120,45,LEO44,44/73,1650,82,80,Vestas,V82,2005/2006/2012,49,33308218,-98,69840722,
1297,Manitoba,St. Leon,120,45,LEO45,45/73,1650,82,80,Vestas,V82,2005/2006/2012,49,33016555,-98,6511196,
1298,Manitoba,St. Leon,120,45,LEO46,46/73,1650,82,80,Vestas,V82,2005/2006/2012,49,33203155,-98,64550701,
1299,Manitoba,St. Leon,120,45,LEO47,47/73,1650,82,80,Vestas,V82,2005/2006/2012,49,33410375,-98,64052565,
1300,Manitoba,St. Leon,120,45,LEO48,48/73,1650,82,80,Vestas,V82,2005/2006/2012,49,33578644,-98,63432659,
1301,Manitoba,St. Leon,120,45,LEO49,49/73,1650,82,80,Vestas,V82,2005/2006/2012,49,4056391,-98,56099316,
1302,Manitoba,St. Leon,120,45,LEO50,50/73,1650,82,80,Vestas,V82,2005/2006/2012,49,40729927,-98,55536421,
1303,Manitoba,St. Leon,120,45,LEO51,51/73,1650,82,80,Vestas,V82,2005/2006/2012,49,40892009,-98,54972569,
1304,Manitoba,St. Leon,120,45,LEO52,52/73,1650,82,80,Vestas,V82,2005/2006/2012,49,4109701,-98,53990065,
1305,Manitoba,St. Leon,120,45,LEO53,53/73,1650,82,80,Vestas,V82,2005/2006/2012,49,41247837,-98,53473117,
1306,Manitoba,St. Leon,120,45,LEO54,54/73,1650,82,80,Vestas,V82,2005/2006/2012,49,39493172,-98,53703341,
1307,Manitoba,St. Leon,120,45,LEO55,55/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3964125,-98,53184142,
1308,Manitoba,St. Leon,120,45,LEO56,56/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3979354,-98,52662336,
1309,Manitoba,St. Leon,120,45,LEO57,57/73,1650,82,80,Vestas,V82,2005/2006/2012,49,38160913,-98,52436946,
1310,Manitoba,St. Leon,120,45,LEO58,58/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37971159,-98,53031326,
1311,Manitoba,St. Leon,120,45,LEO59,59/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37801325,-98,53642488,
1312,Manitoba,St. Leon,120,45,LEO60,60/73,1650,82,80,Vestas,V82,2005/2006/2012,49,37603915,-98,54237433,
1313,Manitoba,St. Leon,120,45,LEO61,61/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3597543,-98,54074181,
1314,Manitoba,St. Leon,120,45,LEO62,62/73,1650,82,80,Vestas,V82,2005/2006/2012,49,36047584,-98,53762188,
1315,Manitoba,St. Leon,120,45,LEO63,63/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3612595,-98,53450549,
1316,Manitoba,St. Leon,120,45,LEO64,64/73,1650,82,80,Vestas,V82,2005/2006/2012,49,32840414,-98,58461278,
1317,Manitoba,St. Leon,120,45,LEO65,65/73,1650,82,80,Vestas,V82,2005/2006/2012,49,33099357,-98,57707504,
1318,Manitoba,St. Leon,120,45,LEO66,66/73,1650,82,80,Vestas,V82,2005/2006/2012,49,33350928,-98,56945477,
1319,Manitoba,St. Leon,120,45,LEO67,67/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34155275,-98,58497499,
1320,Manitoba,St. Leon,120,45,LEO68,68/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34289374,-98,57787662,
1321,Manitoba,St. Leon,120,45,LEO69,69/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3453963,-98,57162867,
1322,Manitoba,St. Leon,120,45,LEO70,70/73,1650,82,80,Vestas,V82,2005/2006/2012,49,3473603,-98,5650502,
1323,Manitoba,St. Leon,120,45,LEO71,71/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34930522,-98,55831513,
1324,Manitoba,St. Leon,120,45,LEO72,72/73,1650,82,80,Vestas,V82,2005/2006/2012,49,38995512,-98,56232914,
1325,Manitoba,St. Leon,120,45,LEO73,73/73,1650,82,80,Vestas,V82,2005/2006/2012,49,34850017,-98,64502409,
1326,New Brunswick,Kent Hills 1,167,25,KHW1,1/55,3000,90,80,Vestas,V90,2008,45,8396292,-64,8604665,
1327,New Brunswick,Kent Hills 1,167,25,KHW2,2/55,3000,90,80,Vestas,V90,2008,45,8363744,-64,857339,
1328,New Brunswick,Kent Hills 1,167,25,KHW3,3/55,3000,90,80,Vestas,V90,2008,45,8364395,-64,8721467,
1329,New Brunswick,Kent Hills 1,167,25,KHW4,4/55,3000,90,80,Vestas,V90,2008,45,8334579,-64,8703996,
1330,New Brunswick,Kent Hills 1,167,25,KHW5,5/55,3000,90,80,Vestas,V90,2008,45,8292073,-64,8822888,
1331,New Brunswick,Kent Hills 1,167,25,KHW6,6/55,3000,90,80,Vestas,V90,2008,45,8232335,-64,8817287,
1332,New Brunswick,Kent Hills 1,167,25,KHW7,7/55,3000,90,80,Vestas,V90,2008,45,8229184,-64,8431686,
1333,New Brunswick,Kent Hills 1,167,25,KHW8,8/55,3000,90,80,Vestas,V90,2008,45,8178309,-64,8432295,
1334,New Brunswick,Kent Hills 1,167,25,KHW9,9/55,3000,90,80,Vestas,V90,2008,45,8126494,-64,8500993,
1335,New Brunswick,Kent Hills 1,167,25,KHW10,10/55,3000,90,80,Vestas,V90,2008,45,8095334,-64,8422602,
1336,New Brunswick,Kent Hills 1,167,25,KHW11,11/55,3000,90,80,Vestas,V90,2008,45,8180991,-64,912279,
1337,New Brunswick,Kent Hills 1,167,25,KHW12,12/55,3000,90,80,Vestas,V90,2008,45,8139405,-64,9092976,
1338,New Brunswick,Kent Hills 1,167,25,KHW13,13/55,3000,90,80,Vestas,V90,2008,45,8114454,-64,8997593,
1339,New Brunswick,Kent Hills 1,167,25,KHW14,14/55,3000,90,80,Vestas,V90,2008,45,8084473,-64,8979983,
1340,New Brunswick,Kent Hills 1,167,25,KHW15,15/55,3000,90,80,Vestas,V90,2008,45,8115282,-64,8877718,
1341,New Brunswick,Kent Hills 1,167,25,KHW16,16/55,3000,90,80,Vestas,V90,2008,45,808419,-64,8862548,
1342,New Brunswick,Kent Hills 1,167,25,KHW17,17/55,3000,90,80,Vestas,V90,2008,45,8143167,-64,8688108,
1343,New Brunswick,Kent Hills 1,167,25,KHW18,18/55,3000,90,80,Vestas,V90,2008,45,8107499,-64,8673984,
1344,New Brunswick,Kent Hills 1,167,25,KHW19,19/55,3000,90,80,Vestas,V90,2008,45,807368,-64,8660221,
1345,New Brunswick,Kent Hills 1,167,25,KHW20,20/55,3000,90,80,Vestas,V90,2008,45,8039831,-64,8646485,
1346,New Brunswick,Kent Hills 1,167,25,KHW21,21/55,3000,90,80,Vestas,V90,2008,45,8004043,-64,8644762,
1347,New Brunswick,Kent Hills 1,167,25,KHW22,22/55,3000,90,80,Vestas,V90,2008,45,7978434,-64,8973318,
1348,New Brunswick,Kent Hills 1,167,25,KHW23,23/55,3000,90,80,Vestas,V90,2008,45,794869,-64,8955445,
1349,New Brunswick,Kent Hills 1,167,25,KHW24,24/55,3000,90,80,Vestas,V90,2008,45,7942909,-64,9096498,
1350,New Brunswick,Kent Hills 1,167,25,KHW25,25/55,3000,90,80,Vestas,V90,2008,45,7899311,-64,9093437,
1351,New Brunswick,Kent Hills 1,167,25,KHW26,26/55,3000,90,80,Vestas,V90,2008,45,7862947,-64,9091525,
1352,New Brunswick,Kent Hills 1,167,25,KHW27,27/55,3000,90,80,Vestas,V90,2008,45,781198,-64,9081655,
1353,New Brunswick,Kent Hills 1,167,25,KHW28,28/55,3000,90,80,Vestas,V90,2008,45,7776019,-64,9073884,
1354,New Brunswick,Kent Hills 1,167,25,KHW29,29/55,3000,90,80,Vestas,V90,2008,45,7743086,-64,9057674,
1355,New Brunswick,Kent Hills 1,167,25,KHW30,30/55,3000,90,80,Vestas,V90,2008,45,7708924,-64,9040031,
1356,New Brunswick,Kent Hills 1,167,25,KHW31,31/55,3000,90,80,Vestas,V90,2008,45,7675573,-64,9023524,
1357,New Brunswick,Kent Hills 1,167,25,KHW32,32/55,3000,90,80,Vestas,V90,2008,45,764221,-64,9006858,
1358,New Brunswick,Caribou Wind Park,99,CWP1,1/33,3000,90,80,Vestas,V90,2009,47,511,-66,418,
1359,New Brunswick,Caribou Wind Park,99,CWP2,2/33,3000,90,80,Vestas,V90,2009,47,508,-66,4161395,
1360,New Brunswick,Caribou Wind Park,99,CWP3,3/33,3000,90,80,Vestas,V90,2009,47,505,-66,415,
1361,New Brunswick,Caribou Wind Park,99,CWP4,4/33,3000,90,80,Vestas,V90,2009,47,501,-66,415,
1362,New Brunswick,Caribou Wind Park,99,CWP5,5/33,3000,90,80,Vestas,V90,2009,47,498,-66,414,
1363,New Brunswick,Caribou Wind Park,99,CWP6,6/33,3000,90,80,Vestas,V90,2009,47,493,-66,432,
1364,New Brunswick,Caribou Wind Park,99,CWP7,7/33,3000,90,80,Vestas,V90,2009,47,487,-66,428,
1365,New Brunswick,Caribou Wind Park,99,CWP8,8/33,3000,90,80,Vestas,V90,2009,47,484,-66,43,
1366,New Brunswick,Caribou Wind Park,99,CWP9,9/33,3000,90,80,Vestas,V90,2009,47,481,-66,421,
1367,New Brunswick,Caribou Wind Park,99,CWP10,10/33,3000,90,80,Vestas,V90,2009,47,478,-66,425,
1368,New Brunswick,Caribou Wind Park,99,CWP11,11/33,3000,90,80,Vestas,V90,2009,47,474,-66,424,
1369,New Brunswick,Caribou Wind Park,99,CWP12,12/33,3000,90,80,Vestas,V90,2009,47,471,-66,423,
1370,New Brunswick,Caribou Wind Park,99,CWP13,13/33,3000,90,80,Vestas,V90,2009,47,468,-66,424,
1371,New Brunswick,Caribou Wind Park,99,CWP14,14/33,3000,90,80,Vestas,V90,2009,47,461,-66,429,
1372,New Brunswick,Caribou Wind Park,99,CWP15,15/33,3000,90,80,Vestas,V90,2009,47,454,-66,423,
1373,New Brunswick,Caribou Wind Park,99,CWP16,16/33,3000,90,80,Vestas,V90,2009,47,452,-66,432,
1374,New Brunswick,Caribou Wind Park,99,CWP17,17/33,3000,90,80,Vestas,V90,2009,47,451,-66,424,
1375,New Brunswick,Caribou Wind Park,99,CWP18,18/33,3000,90,80,Vestas,V90,2009,47,465,-66,487,
1376,New Brunswick,Caribou Wind Park,99,CWP19,19/33,3000,90,80,Vestas,V90,2009,47,46,-66,467,
1377,New Brunswick,Caribou Wind Park,99,CWP20,20/33,3000,90,80,Vestas,V90,2009,47,442,-66,486,
1378,New Brunswick,Caribou Wind Park,99,CWP21,21/33,3000,90,80,Vestas,V90,2009,47,444,-66,483,
1379,New Brunswick,Caribou Wind Park,99,CWP22,22/33,3000,90,80,Vestas,V90,2009,47,447,-66,48,
1380,New Brunswick,Caribou Wind Park,99,CWP23,23/33,3000,90,80,Vestas,V90,2009,47,45,-66,474,
1381,New Brunswick,Caribou Wind Park,99,CWP24,24/33,3000,90,80,Vestas,V90,2009,47,452,-66,47,
1382,New Brunswick,Caribou Wind Park,99,CWP25,25/33,3000,90,80,Vestas,V90,2009,47,454,-66,465,
1383,New Brunswick,Caribou Wind Park,99,CWP26,26/33,3000,90,80,Vestas,V90,2009,47,449,-66,457,
1384,New Brunswick,Caribou Wind Park,99,CWP27,27/33,3000,90,80,Vestas,V90,2009,47,451,-66,451,
1385,New Brunswick,Caribou Wind Park,99,CWP28,28/33,3000,90,80,Vestas,V90,2009,47,442,-66,446,
1386,New Brunswick,Caribou Wind Park,99,CWP29,29/33,3000,90,80,Vestas,V90,2009,47,433,-66,468,
1387,New Brunswick,Caribou Wind Park,99,CWP30,30/33,3000,90,80,Vestas,V90,2009,47,425,-66,479,
1388,New Brunswick,Caribou Wind Park,99,CWP31,31/33,3000,90,80,Vestas,V90,2009,47,427,-66,47,
1389,New Brunswick,Caribou Wind Park,99,CWP32,32/33,3000,90,80,Vestas,V90,2009,47,429,-66,456,
1390,New Brunswick,Caribou Wind Park,99,CWP33,33/33,3000,90,80,Vestas,V90,2009,47,428,-66,45,
1391,New Brunswick,Kent Hills 2,167,25,KHW33,33/55,3000,90,80,Vestas,V90,2010,45,8273428,-64,8945593,
1392,New Brunswick,Kent Hills 2,167,25,KHW34,34/55,3000,90,80,Vestas,V90,2010,45,8237315,-64,8934794,
1393,New Brunswick,Kent Hills 2,167,25,KHW35,35/55,3000,90,80,Vestas,V90,2010,45,7919706,-64,8936766,
1394,New Brunswick,Kent Hills 2,167,25,KHW36,36/55,3000,90,80,Vestas,V90,2010,45,7847213,-64,8875857,
1395,New Brunswick,Kent Hills 2,167,25,KHW37,37/55,3000,90,80,Vestas,V90,2010,45,7820381,-64,8858137,
1396,New Brunswick,Kent Hills 2,167,25,KHW38,38/55,3000,90,80,Vestas,V90,2010,45,7791058,-64,8802344,
1397,New Brunswick,Kent Hills 2,167,25,KHW39,39/55,3000,90,80,Vestas,V90,2010,45,7764331,-64,8783764,
1398,New Brunswick,Kent Hills 2,167,25,KHW40,40/55,3000,90,80,Vestas,V90,2010,45,7735953,-64,8764978,
1399,New Brunswick,Kent Hills 2,167,25,KHW41,41/55,3000,90,80,Vestas,V90,2010,45,7880023,-64,9476233,
1400,New Brunswick,Kent Hills 2,167,25,KHW42,42/55,3000,90,80,Vestas,V90,2010,45,7839338,-64,9473547,
1401,New Brunswick,Kent Hills 2,167,25,KHW43,43/55,3000,90,80,Vestas,V90,2010,45,7797272,-64,9471319,
1402,New Brunswick,Kent Hills 2,167,25,KHW44,44/55,3000,90,80,Vestas,V90,2010,45,7743314,-64,9488607,
