OBJECTID,Province/Territory,Project name,Total project capacity (MW),Turbine identifier,Turbine number in project,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),Manufacturer,Model,Commissioning date,Latitude,Longitude,Notes
29,Alberta,Waterton Wind Turbines,3,78,WWT5,5/6,660,47,50,Vestas,V47/660,2001,49,18974711,-113,680682,
30,Alberta,Summerview,136,2,SVW1,1/61,1800,80,65,Vestas,V80/1800,2002,49,58284577,-113,7913236,
31,Alberta,Waterton Wind Turbines,3,78,WWT6,6/6,660,47,50,Vestas,V47/660,2002,49,19045971,-113,6405445,
32,Alberta,McBride Lake,75,MBL2,2/115,660,50,47,Vestas,V47/660,2003,49,62712847,-113,4677089,
33,Alberta,McBride Lake,75,MBL3,3/115,660,50,47,Vestas,V47/660,2003,49,6262466,-113,4663882,
34,Alberta,McBride Lake,75,MBL4,4/115,660,50,47,Vestas,V47/660,2003,49,62524877,-113,4651587,
35,Alberta,McBride Lake,75,MBL5,5/115,660,50,47,Vestas,V47/660,2003,49,62420212,-113,4639531,
36,Alberta,McBride Lake,75,MBL6,6/115,660,50,47,Vestas,V47/660,2003,49,62326004,-113,4626932,
37,Alberta,McBride Lake,75,MBL7,7/115,660,50,47,Vestas,V47/660,2003,49,62217214,-113,461479,
38,Alberta,McBride Lake,75,MBL8,8/115,660,50,47,Vestas,V47/660,2003,49,62104726,-113,4604887,
39,Alberta,McBride Lake,75,MBL9,9/115,660,50,47,Vestas,V47/660,2003,49,62706621,-113,4770801,
40,Alberta,McBride Lake,75,MBL10,10/115,660,50,47,Vestas,V47/660,2003,49,62607099,-113,4760571,
41,Alberta,McBride Lake,75,MBL11,11/115,660,50,47,Vestas,V47/660,2003,49,62479562,-113,474916,
42,Alberta,McBride Lake,75,MBL12,12/115,660,50,47,Vestas,V47/660,2003,49,62339284,-113,473742,
43,Alberta,McBride Lake,75,MBL13,13/115,660,50,47,Vestas,V47/660,2003,49,62257482,-113,4729844,
44,Alberta,McBride Lake,75,MBL14,14/115,660,50,47,Vestas,V47/660,2003,49,62171028,-113,4722787,
45,Alberta,McBride Lake,75,MBL15,15/115,660,50,47,Vestas,V47/660,2003,49,62064949,-113,4713815,
46,Alberta,McBride Lake,75,MBL16,16/115,660,50,47,Vestas,V47/660,2003,49,6195843,-113,4695659,
47,Alberta,McBride Lake,75,MBL17,17/115,660,50,47,Vestas,V47/660,2003,49,61850637,-113,467642,
48,Alberta,McBride Lake,75,MBL18,18/115,660,50,47,Vestas,V47/660,2003,49,61791768,-113,4660296,
49,Alberta,McBride Lake,75,MBL19,19/115,660,50,47,Vestas,V47/660,2003,49,61744581,-113,4643143,
50,Alberta,McBride Lake,75,MBL20,20/115,660,50,47,Vestas,V47/660,2003,49,62485191,-113,4839934,
51,Alberta,McBride Lake,75,MBL21,21/115,660,50,47,Vestas,V47/660,2003,49,62421413,-113,4821061,
52,Alberta,McBride Lake,75,MBL22,22/115,660,50,47,Vestas,V47/660,2003,49,62356838,-113,4802533,
53,Alberta,McBride Lake,75,MBL23,23/115,660,50,47,Vestas,V47/660,2003,49,62375384,-113,4967401,
54,Alberta,McBride Lake,75,MBL24,24/115,660,50,47,Vestas,V47/660,2003,49,62289554,-113,4952834,
55,Alberta,McBride Lake,75,MBL25,25/115,660,50,47,Vestas,V47/660,2003,49,6221661,-113,4937364,
56,Alberta,McBride Lake,75,MBL26,26/115,660,50,47,Vestas,V47/660,2003,49,62160147,-113,4920023,
57,Alberta,McBride Lake,75,MBL27,27/115,660,50,47,Vestas,V47/660,2003,49,62107715,-113,4903041,
58,Alberta,McBride Lake,75,MBL28,28/115,660,50,47,Vestas,V47/660,2003,49,6204285,-113,4884608,
59,Alberta,McBride Lake,75,MBL29,29/115,660,50,47,Vestas,V47/660,2003,49,61990866,-113,4867135,
60,Alberta,McBride Lake,75,MBL30,30/115,660,50,47,Vestas,V47/660,2003,49,61930187,-113,4850424,
61,Alberta,McBride Lake,75,MBL31,31/115,660,50,47,Vestas,V47/660,2003,49,61872849,-113,483258,
62,Alberta,McBride Lake,75,MBL32,32/115,660,50,47,Vestas,V47/660,2003,49,61809541,-113,4813956,
63,Alberta,McBride Lake,75,MBL33,33/115,660,50,47,Vestas,V47/660,2003,49,6175595,-113,4797322,
64,Alberta,McBride Lake,75,MBL34,34/115,660,50,47,Vestas,V47/660,2003,49,61695371,-113,4779078,
65,Alberta,McBride Lake,75,MBL35,35/115,660,50,47,Vestas,V47/660,2003,49,61913196,-113,5016139,
66,Alberta,McBride Lake,75,MBL36,36/115,660,50,47,Vestas,V47/660,2003,49,61818925,-113,5001391,
67,Alberta,McBride Lake,75,MBL37,37/115,660,50,47,Vestas,V47/660,2003,49,61721423,-113,4989161,
68,Alberta,McBride Lake,75,MBL38,38/115,660,50,47,Vestas,V47/660,2003,49,61622805,-113,4975789,
69,Alberta,McBride Lake,75,MBL39,39/115,660,50,47,Vestas,V47/660,2003,49,61538387,-113,4963172,
70,Alberta,McBride Lake,75,MBL40,40/115,660,50,47,Vestas,V47/660,2003,49,61479715,-113,4945648,
71,Alberta,McBride Lake,75,MBL41,41/115,660,50,47,Vestas,V47/660,2003,49,61426428,-113,4928547,
72,Alberta,McBride Lake,75,MBL42,42/115,660,50,47,Vestas,V47/660,2003,49,61370914,-113,4910705,
73,Alberta,McBride Lake,75,MBL43,43/115,660,50,47,Vestas,V47/660,2003,49,61305389,-113,4892728,
74,Alberta,McBride Lake,75,MBL44,44/115,660,50,47,Vestas,V47/660,2003,49,61250514,-113,4875221,
75,Alberta,McBride Lake,75,MBL45,45/115,660,50,47,Vestas,V47/660,2003,49,61191309,-113,4858063,
76,Alberta,McBride Lake,75,MBL46,46/115,660,50,47,Vestas,V47/660,2003,49,61127589,-113,4839396,
77,Alberta,McBride Lake,75,MBL47,47/115,660,50,47,Vestas,V47/660,2003,49,61072659,-113,4820997,
78,Alberta,McBride Lake,75,MBL48,48/115,660,50,47,Vestas,V47/660,2003,49,61066299,-113,5016305,
79,Alberta,McBride Lake,75,MBL49,49/115,660,50,47,Vestas,V47/660,2003,49,61001292,-113,4998038,
80,Alberta,McBride Lake,75,MBL50,50/115,660,50,47,Vestas,V47/660,2003,49,60951446,-113,4980015,
81,Alberta,McBride Lake,75,MBL51,51/115,660,50,47,Vestas,V47/660,2003,49,60885684,-113,4963072,
82,Alberta,McBride Lake,75,MBL52,52/115,660,50,47,Vestas,V47/660,2003,49,60829932,-113,4945177,
83,Alberta,McBride Lake,75,MBL53,53/115,660,50,47,Vestas,V47/660,2003,49,60766191,-113,4927174,
84,Alberta,McBride Lake,75,MBL54,54/115,660,50,47,Vestas,V47/660,2003,49,60718514,-113,4909976,
85,Alberta,McBride Lake,75,MBL55,55/115,660,50,47,Vestas,V47/660,2003,49,60536038,-113,5015484,
86,Alberta,McBride Lake,75,MBL56,56/115,660,50,47,Vestas,V47/660,2003,49,60473066,-113,4998194,
87,Alberta,McBride Lake,75,MBL57,57/115,660,50,47,Vestas,V47/660,2003,49,6042889,-113,4980343,
88,Alberta,McBride Lake,75,MBL58,58/115,660,50,47,Vestas,V47/660,2003,49,60374815,-113,4963909,
89,Alberta,McBride Lake,75,MBL59,59/115,660,50,47,Vestas,V47/660,2003,49,60319362,-113,4944749,
90,Alberta,McBride Lake,75,MBL60,60/115,660,50,47,Vestas,V47/660,2003,49,60257787,-113,4928315,
91,Alberta,McBride Lake,75,MBL61,61/115,660,50,47,Vestas,V47/660,2003,49,60194725,-113,4909996,
92,Alberta,McBride Lake,75,MBL62,62/115,660,50,47,Vestas,V47/660,2003,49,60279601,-113,5108461,
93,Alberta,McBride Lake,75,MBL63,63/115,660,50,47,Vestas,V47/660,2003,49,60200313,-113,50844,
94,Alberta,McBride Lake,75,MBL64,64/115,660,50,47,Vestas,V47/660,2003,49,6012849,-113,5061806,
95,Alberta,McBride Lake,75,MBL65,65/115,660,50,47,Vestas,V47/660,2003,49,60052825,-113,5038104,
96,Alberta,McBride Lake,75,MBL66,66/115,660,50,47,Vestas,V47/660,2003,49,59970786,-113,5015203,
97,Alberta,McBride Lake,75,MBL67,67/115,660,50,47,Vestas,V47/660,2003,49,59921847,-113,4997783,
98,Alberta,McBride Lake,75,MBL68,68/115,660,50,47,Vestas,V47/660,2003,49,59854869,-113,4980879,
99,Alberta,McBride Lake,75,MBL69,69/115,660,50,47,Vestas,V47/660,2003,49,59797999,-113,4963006,
100,Alberta,McBride Lake,75,MBL70,70/115,660,50,47,Vestas,V47/660,2003,49,5974718,-113,4945082,
101,Alberta,McBride Lake,75,MBL71,71/115,660,50,47,Vestas,V47/660,2003,49,5966671,-113,4921209,
102,Alberta,McBride Lake,75,MBL72,72/115,660,50,47,Vestas,V47/660,2003,49,59581625,-113,489893,
103,Alberta,McBride Lake,75,MBL73,73/115,660,50,47,Vestas,V47/660,2003,49,59516169,-113,4874728,
104,Alberta,McBride Lake,75,MBL74,74/115,660,50,47,Vestas,V47/660,2003,49,59414594,-113,4736895,
105,Alberta,McBride Lake,75,MBL75,75/115,660,50,47,Vestas,V47/660,2003,49,59338592,-113,4720144,
106,Alberta,McBride Lake,75,MBL76,76/115,660,50,47,Vestas,V47/660,2003,49,59267398,-113,4706088,
107,Alberta,McBride Lake,75,MBL77,77/115,660,50,47,Vestas,V47/660,2003,49,59196996,-113,4689835,
108,Alberta,McBride Lake,75,MBL78,78/115,660,50,47,Vestas,V47/660,2003,49,59108711,-113,4673677,
109,Alberta,McBride Lake,75,MBL79,79/115,660,50,47,Vestas,V47/660,2003,49,59025779,-113,4659288,
